#genus	code	division
Bocaparvovirus	G10	Vertebrates
Botrexvirus	G4	Plants
Bppunalikevirus	NA	NA
Brambyvirus	NA	NA
Cafeteriavirus	G4	Plants
Cardoreovirus	G1	Invertebrates
Cervidpoxvirus	G10	Vertebrates
Chipapillomavirus	G10	Vertebrates
Cilevirus	G4	Plants
Citrivirus	G4	Plants
Clavavirus	NA	NA
Cocadviroid	G4	Plants
Coleviroid	G4	Plants
Copiparvovirus	G10	Vertebrates
Cosavirus	G10	Vertebrates
Crocodylidpoxvirus	G10	Vertebrates
Cryspovirus	NA	NA
Cuevavirus	G10	Vertebrates
Cyprinivirus	G10	Vertebrates
Deltabaculovirus	NA	NA
Deltacoronavirus	G10	Vertebrates
Deltalipothrixvirus	NA	NA
Deltapartitivirus	G4	Plants
Deltatorquevirus	G10	Vertebrates
Dependoparvovirus	G10	Vertebrates
Dicipivirus	G10	Vertebrates
Dinodnavirus	NA	NA
Dinornavirus	NA	NA
Dinovernavirus	NA	NA
Dyodeltapapillomavirus	NA	NA
Dyoepsilonpapillomavirus	NA	NA
Dyoetapapillomavirus	G10	Vertebrates
Dyoiotapapillomavirus	G10	Vertebrates
Dyokappapapillomavirus	G10	Vertebrates
Dyolambdapapillomavirus	G10	Vertebrates
Dyomupapillomavirus	G10	Vertebrates
Dyonupapillomavirus	G10	Vertebrates
Dyoomikronpapillomavirus	G10	Vertebrates
Dyopipapillomavirus	G10	Vertebrates
Dyorhopapillomavirus	G10	Vertebrates
Dyosigmapapillomavirus	G10	Vertebrates
Dyothetapapillomavirus	G10	Vertebrates
Dyoxipapillomavirus	G10	Vertebrates
Dyozetapapillomavirus	G10	Vertebrates
Elaviroid	G4	Plants
Emaravirus	G4	Plants
Epsilon15likevirus	NA	NA
Epsilontorquevirus	NA	NA
Eragrovirus	G4	Plants
Erythroparvovirus	G10	Vertebrates
Etatorquevirus	G10	Vertebrates
Felixounalikevirus	NA	NA
Ferlavirus	G10	Vertebrates
Gallantivirus	NA	NA
Gallivirus	G10	Vertebrates
Gammabaculovirus	G1	Invertebrates
Gammacoronavirus	G10	Vertebrates
Gammapartitivirus	G4	Plants
Gammatorquevirus	G10	Vertebrates
Globulovirus	NA	NA
Glossinavirus	G1	Invertebrates
Hapunalikevirus	NA	NA
Hepandensovirus	G1	Invertebrates
Higrevirus	G4	Plants
Hostuviroid	G4	Plants
Hpunalikevirus	NA	NA
Hunnivirus	G10	Vertebrates
I3likevirus	NA	NA
Ichtadenovirus	G10	Vertebrates
Iotatorquevirus	G10	Vertebrates
Iteradensovirus	G1	Invertebrates
Kappatorquevirus	G10	Vertebrates
Labyrnavirus	NA	NA
Lambdatorquevirus	G10	Vertebrates
Lolavirus	G4	Plants
Luz24likevirus	NA	NA
Macanavirus	G4	Plants
Macavirus	G10	Vertebrates
Marseillevirus	G10	Vertebrates
Megabirnavirus	G4	Plants
Megrivirus	G10	Vertebrates
Mimoreovirus	G4	Plants
Mischivirus	G10	Vertebrates
Mosavirus	G10	Vertebrates
Muscavirus	G1	Invertebrates
Mycoflexivirus	G4	Plants
Nebovirus	G10	Vertebrates
Nyavirus	G1	Invertebrates
Omegapapillomavirus	NA	NA
Omikronpapillomavirus	G10	Vertebrates
Oscivirus	G10	Vertebrates
Ostreavirus	G1	Invertebrates
Pasivirus	G10	Vertebrates
Passerivirus	G10	Vertebrates
Pbunalikevirus	NA	NA
Pegivirus	G10	Vertebrates
Pelamoviroid	G4	Plants
Penstyldensovirus	G1,G10	Invertebrates,Vertebrates
Percavirus	G10	Vertebrates
Perhabdovirus	G10	Vertebrates
Phicd119likevirus	NA	NA
Phieco32likevirus	NA	NA
Phikmvlikevirus	NA	NA
Phikzlikevirus	NA	NA
Phipapillomavirus	NA	NA
Picobirnavirus	G10	Vertebrates
Poacevirus	G4	Plants
Polemovirus	G4	Plants
Pospiviroid	G1,G4	Invertebrates,Plants
Proboscivirus	G10	Vertebrates
Protoparvovirus	G1,G10	Invertebrates,Vertebrates
Psipapillomavirus	G10	Vertebrates
Quadrivirus	G4	Plants
Quaranjavirus	G1	Invertebrates
Rhopapillomavirus	G10	Vertebrates
Rosavirus	G10	Vertebrates
Salivirus	G10	Vertebrates
Salmonivirus	G10	Vertebrates
Sapelovirus	G10	Vertebrates
Schizot4likevirus	NA	NA
Sclerodarnavirus	G4	Plants
Scutavirus	G10	Vertebrates
Senecavirus	G10	Vertebrates
Sigmapapillomavirus	G10	Vertebrates
Sigmavirus	G1	Invertebrates
Solendovirus	G4	Plants
Sp6likevirus	NA	NA
Spbetalikevirus	NA	NA
Sprivivirus	G10	Vertebrates
Taupapillomavirus	G10	Vertebrates
Tepovirus	G4	Plants
Tetraparvovirus	G10	Vertebrates
Thetatorquevirus	G10	Vertebrates
Tibrovirus	G1,G10	Invertebrates,Vertebrates
Torradovirus	G4	Plants
Tremovirus	G10	Vertebrates
Trichomonasvirus	G1,G10	Invertebrates,Vertebrates
Tupavirus	NA	NA
Turncurtovirus	G4	Plants
Twortlikevirus	NA	NA
Unassigned	NA	NA
Upsilonpapillomavirus	G10	Vertebrates
Velarivirus	G4	Plants
Victorivirus	G4	Plants
Viunalikevirus	NA	NA
Yualikevirus	NA	NA
Zeavirus	NA	NA
Zetatorquevirus	NA	NA
Alfamovirus	G4	Plants
Allexivirus	G4	Plants
Alphanecrovirus	G4	Plants
Alphapartitivirus	G4	Plants
Ampelovirus	G4	Plants
Aureusvirus	G4	Plants
Avenavirus	G4	Plants
Babuvirus	G4	Plants
Badnavirus	G4	Plants
Begomovirus	G4	Plants
Benyvirus	G4	Plants
Bromovirus	G4	Plants
Bymovirus	G4	Plants
Capillovirus	G4	Plants
Carlavirus	G4	Plants
Carmovirus	G4	Plants
Caulimovirus	G4	Plants
Cavemovirus	G4	Plants
Cheravirus	G4	Plants
Closterovirus	G4	Plants
Comovirus	G4	Plants
Crinivirus	G4	Plants
Cucumovirus	G4	Plants
Curtovirus	G4	Plants
Dianthovirus	G4	Plants
Enamovirus	G4	Plants
Endornavirus	G4	Plants
Fabavirus	G4	Plants
Fijivirus	G4	Plants
Foveavirus	G4	Plants
Furovirus	G4	Plants
Hordeivirus	G4	Plants
Idaeovirus	G4	Plants
Ilarvirus	G4	Plants
Ipomovirus	G4	Plants
Luteovirus	G4	Plants
Machlomovirus	G4	Plants
Macluravirus	G4	Plants
Maculavirus	G4	Plants
Mandarivirus	G4	Plants
Marafivirus	G4	Plants
Mastrevirus	G4	Plants
Nanovirus	G4	Plants
Nepovirus	G4	Plants
Oleavirus	G4	Plants
Ophiovirus	G4	Plants
Oryzavirus	G4	Plants
Ourmiavirus	G4	Plants
Panicovirus	G4	Plants
Pecluvirus	G4	Plants
Petuvirus	G4	Plants
Phytoreovirus	G4	Plants
Polerovirus	G4	Plants
Pomovirus	G4	Plants
Potexvirus	G4	Plants
Potyvirus	G4	Plants
Rymovirus	G4	Plants
Sadwavirus	G4	Plants
Sequivirus	G4	Plants
Sirevirus	G4	Plants
Sobemovirus	G4	Plants
Soymovirus	G4	Plants
Tenuivirus	G4	Plants
Tobamovirus	G4	Plants
Tobravirus	G4	Plants
Tombusvirus	G4	Plants
Topocuvirus	G4	Plants
Tospovirus	G4	Plants
Trichovirus	G4	Plants
Tritimovirus	G4	Plants
Tungrovirus	G4	Plants
Tymovirus	G4	Plants
Umbravirus	G4	Plants
Varicosavirus	G4	Plants
Vitivirus	G4	Plants
Waikavirus	G4	Plants
Giardiavirus	X4	Protozoa
Leishmaniavirus	X4	Protozoa
Mimivirus	X4	Protozoa
Alphapapillomavirus	G10	Vertebrates
Alpharetrovirus	G10	Vertebrates
Alphatorquevirus	G10	Vertebrates
Alphavirus	G10	Vertebrates
Aphthovirus	G10	Vertebrates
Aquabirnavirus	G10	Vertebrates
Aquareovirus	G10	Vertebrates
Arenavirus	G10	Vertebrates
Arterivirus	G10	Vertebrates
Asfivirus	G10	Vertebrates
Atadenovirus	G10	Vertebrates
Avastrovirus	G10	Vertebrates
Aviadenovirus	G10	Vertebrates
Avibirnavirus	G10	Vertebrates
Avihepadnavirus	G10	Vertebrates
Avipoxvirus	G10	Vertebrates
Avulavirus	G10	Vertebrates
Betanodavirus	G10	Vertebrates
Betapapillomavirus	G10	Vertebrates
Betaretrovirus	G10	Vertebrates
Bornavirus	G10	Vertebrates
Capripoxvirus	G10	Vertebrates
Cardiovirus	G10	Vertebrates
Circovirus	G10	Vertebrates
Coltivirus	G10	Vertebrates
Cytomegalovirus	G10	Vertebrates
Deltapapillomavirus	G10	Vertebrates
Deltaretrovirus	G10	Vertebrates
Deltavirus	G10	Vertebrates
Ebolavirus	G10	Vertebrates
Enterovirus	G10	Vertebrates
Epsilonpapillomavirus	G10	Vertebrates
Epsilonretrovirus	G10	Vertebrates
Erbovirus	G10	Vertebrates
Etapapillomavirus	G10	Vertebrates
Flavivirus	G10	Vertebrates
Gammapapillomavirus	G10	Vertebrates
Gammaretrovirus	G10	Vertebrates
Gyrovirus	G10	Vertebrates
Hantavirus	G10	Vertebrates
Henipavirus	G10	Vertebrates
Hepacivirus	G10	Vertebrates
Hepatovirus	G10	Vertebrates
Hepevirus	G10	Vertebrates
Ictalurivirus	G10	Vertebrates
Iltovirus	G10	Vertebrates
Influenzavirus A	G10	Vertebrates
Influenzavirus B	G10	Vertebrates
Influenzavirus C	G10	Vertebrates
Iotapapillomavirus	G10	Vertebrates
Isavirus	G10	Vertebrates
Kappapapillomavirus	G10	Vertebrates
Kobuvirus	G10	Vertebrates
Lagovirus	G10	Vertebrates
Lambdapapillomavirus	G10	Vertebrates
Lentivirus	G10	Vertebrates
Leporipoxvirus	G10	Vertebrates
Lymphocryptovirus	G10	Vertebrates
Lymphocystivirus	G10	Vertebrates
Mamastrovirus	G10	Vertebrates
Marburgvirus	G10	Vertebrates
Mardivirus	G10	Vertebrates
Mastadenovirus	G10	Vertebrates
Megalocytivirus	G10	Vertebrates
Metapneumovirus	G10	Vertebrates
Molluscipoxvirus	G10	Vertebrates
Morbillivirus	G10	Vertebrates
Mupapillomavirus	G10	Vertebrates
Muromegalovirus	G10	Vertebrates
Nairovirus	G10	Vertebrates
Norovirus	G10	Vertebrates
Nupapillomavirus	G10	Vertebrates
Okavirus	G10	Vertebrates
Orbivirus	G10	Vertebrates
Orthobunyavirus	G10	Vertebrates
Orthohepadnavirus	G10	Vertebrates
Orthopoxvirus	G10	Vertebrates
Orthoreovirus	G10	Vertebrates
Parapoxvirus	G10	Vertebrates
Parechovirus	G10	Vertebrates
Pestivirus	G10	Vertebrates
Phlebovirus	G10	Vertebrates
Pipapillomavirus	G10	Vertebrates
Pneumovirus	G10	Vertebrates
Polyomavirus	G10	Vertebrates
Ranavirus	G10	Vertebrates
Respirovirus	G10	Vertebrates
Rhadinovirus	G10	Vertebrates
Roseolovirus	G10	Vertebrates
Rotavirus	G10	Vertebrates
Rubivirus	G10	Vertebrates
Rubulavirus	G10	Vertebrates
Sapovirus	G10	Vertebrates
Seadornavirus	G10	Vertebrates
Siadenovirus	G10	Vertebrates
Simplexvirus	G10	Vertebrates
Spumavirus	G10	Vertebrates
Suipoxvirus	G10	Vertebrates
Teschovirus	G10	Vertebrates
Thetapapillomavirus	G10	Vertebrates
Thogotovirus	G10	Vertebrates
Torovirus	G10	Vertebrates
Varicellovirus	G10	Vertebrates
Vesivirus	G10	Vertebrates
Xipapillomavirus	G10	Vertebrates
Yatapoxvirus	G10	Vertebrates
Zetapapillomavirus	G10	Vertebrates
Bracorhabdovirus	G1	Invertebrates
Influenzavirus d	G10	Vertebrates
Negevirus	G1	Invertebrates
Recovirus	G10	Vertebrates
# patch v205
Alphapermutotetravirus	G1	Invertebrates
Brambyvirus	G4	Plants
Dinovernavirus	G1	Invertebrates
Tupavirus	G10	Vertebrates
# patch v206
# patch v211
kunsagivirus	G10	Vertebrates
mammarenavirus	G10,G1	Vertebrates,Invertebrates
piscihepevirus	G10	Vertebrates
reptarenavirus	G10	Vertebrates
rosadnavirus	G4	Plants
sakobuvirus	G10	Vertebrates
sicinivirus	G10	Vertebrates
# patch v238
aalivirus	G10	Vertebrates
actinovirus	G10	Vertebrates
ageyesisatellite	G4	Plants
agnathovirus	G10	Vertebrates
albetovirus	G4	Plants
alefpapillomavirus	G10	Vertebrates
almendravirus	G1	Invertebrates
alphaarterivirus	G10	Vertebrates
alphacarmotetravirus	G10	Vertebrates
alphacarmovirus	G4	Plants
alphachrysovirus	G4,G1	Plants,Invertebrates
alphaendornavirus	G4,G10	Plants,Vertebrates
alphainfluenzavirus	G10,G1	Vertebrates,Invertebrates
alphamononivirus	G1	Invertebrates
alphanucleorhabdovirus	G4	Plants
alphanudivirus	G1	Invertebrates
alphaovalivirus	G0	Bacteria
alphapolyomavirus	G10	Vertebrates
alphaportoglobovirus	G0	Bacteria
alphatristromavirus	G10,G0	Vertebrates,Bacteria
amalgavirus	G4	Plants
ampivirus	G10	Vertebrates
anphevirus	G1	Invertebrates
antennavirus	G10	Vertebrates
aquambidensovirus	G1	Invertebrates
arepavirus	G4	Plants
arlivirus	G1	Invertebrates
arurhavirus	G1	Invertebrates
babusatellite	G4	Plants
bandavirus	G10,G1	Vertebrates,Invertebrates
banyangvirus	G10	Vertebrates
barhavirus	G1	Invertebrates
bavovirus	G10	Vertebrates
beidivirus	G1	Invertebrates
berhavirus	G1	Invertebrates
betaarterivirus	G10	Vertebrates
betacarmovirus	G4,G1	Plants,Invertebrates
betachrysovirus	G4	Plants
betaendornavirus	G4	Plants
betainfluenzavirus	G10	Vertebrates
betanucleorhabdovirus	G4	Plants
betanudivirus	G1	Invertebrates
betapolyomavirus	G10,G1	Vertebrates,Invertebrates
betasatellite	G4,G1,G11	Plants,Invertebrates,EnvironmentalSamples
bevemovirus	G4	Plants
blunervirus	G4	Plants
bolenivirus	G1	Invertebrates
bopivirus	G10	Vertebrates
bostovirus	G10	Vertebrates
botoulivirus	G4	Plants
botybirnavirus	G4	Plants
bovismacovirus	G10,G1	Vertebrates,Invertebrates
bovispumavirus	G10	Vertebrates
caligrhavirus	G1	Invertebrates
capulavirus	G4	Plants
carbovirus	G10	Vertebrates
celavirus	G4	Plants
centapoxvirus	G10	Vertebrates
chaphamaparvovirus	G10	Vertebrates
chapparvovirus	G10	Vertebrates
charybnivirus	G4	Plants
chimshavirus	G10	Vertebrates
chipolycivirus	G1	Invertebrates
chordovirus	G4	Plants
clecrusatellite	G4,G11	Plants,EnvironmentalSamples
clostunsatellite	G4	Plants
coguvirus	G4	Plants
colecusatellite	G4,G1,G11	Plants,Invertebrates,EnvironmentalSamples
cosmacovirus	G10	Vertebrates
crohivirus	G10	Vertebrates
crustavirus	G1	Invertebrates
cryspovirus	G1	Invertebrates
cultervirus	G10	Vertebrates
curiovirus	G1	Invertebrates
cyclophivirus	G10	Vertebrates
cyclovirus	G10,G1	Vertebrates,Invertebrates
cynoglossusvirus	G10	Vertebrates
decapodiridovirus	G1	Invertebrates
deltaarterivirus	G10	Vertebrates
deltaflexivirus	G4	Plants
deltainfluenzavirus	G10	Vertebrates
deltapolyomavirus	G10	Vertebrates
deltasatellite	G4,G11	Plants,EnvironmentalSamples
dianlovirus	G10	Vertebrates
diatodnavirus	G4	Plants
dichorhavirus	G4	Plants
dioscovirus	G4	Plants
divavirus	G4	Plants
dragsmacovirus	G1	Invertebrates
drosmacovirus	G10	Vertebrates
dyochipapillomavirus	G10	Vertebrates
dyoomegapapillomavirus	G10	Vertebrates
dyophipapillomavirus	G10	Vertebrates
dyopsipapillomavirus	G10	Vertebrates
dyotaupapillomavirus	G10	Vertebrates
dyoupsilonpapillomavirus	G10	Vertebrates
entovirus	G4	Plants
epsilonarterivirus	G10	Vertebrates
equispumavirus	G10	Vertebrates
etaarterivirus	G10	Vertebrates
fabenesatellite	G4	Plants
felispumavirus	G10	Vertebrates
feravirus	G1	Invertebrates
fesavirus	G10	Vertebrates
finnlakevirus	G0	Bacteria
gammaarterivirus	G10	Vertebrates
gammacarmovirus	G4,G1,G10	Plants,Invertebrates,Vertebrates
gammainfluenzavirus	G10	Vertebrates
gammapolyomavirus	G10	Vertebrates
gemycircularvirus	G10,G1,G4	Vertebrates,Invertebrates,Plants
gemyduguivirus	G1	Invertebrates
gemygorvirus	G10	Vertebrates
gemykibivirus	G10,G1	Vertebrates,Invertebrates
gemykolovirus	G10	Vertebrates
gemykroznavirus	G10	Vertebrates
gemytondvirus	G10	Vertebrates
gemyvongvirus	G10	Vertebrates
goravirus	G4	Plants
gosmusatellite	G4,G1	Plants,Invertebrates
goukovirus	G1,G10	Invertebrates,Vertebrates
grablovirus	G4,G1	Plants,Invertebrates
hapavirus	G1,G10	Invertebrates,Vertebrates
harkavirus	G10	Vertebrates
hartmanivirus	G10	Vertebrates
herbevirus	G1,G10	Invertebrates,Vertebrates
herpetohepadnavirus	G10	Vertebrates
hoplichthysvirus	G10	Vertebrates
horwuvirus	G1	Invertebrates
hubavirus	G1	Invertebrates
hubramonavirus	G4	Plants
huchismacovirus	G10	Vertebrates
hudivirus	G1	Invertebrates
hudovirus	G1	Invertebrates
hupolycivirus	G1	Invertebrates
husavirus	G10	Vertebrates
ichthamaparvovirus	G10	Vertebrates
inshuvirus	G1	Invertebrates
invictavirus	G1	Invertebrates
iotaarterivirus	G10	Vertebrates
ixovirus	G1	Invertebrates
jeilongvirus	G10	Vertebrates
jonvirus	G1	Invertebrates
kappaarterivirus	G10	Vertebrates
klosneuvirus	G1	Invertebrates
kukrinivirus	G10	Vertebrates
lambdaarterivirus	G10	Vertebrates
laulavirus	G1	Invertebrates
ledantevirus	G10,G1	Vertebrates,Invertebrates
lentinuvirus	G4	Plants
limnipivirus	G10	Vertebrates
livupivirus	G10	Vertebrates
loanvirus	G10	Vertebrates
lostrhavirus	G1	Invertebrates
macropopoxvirus	G10	Vertebrates
magoulivirus	G4	Plants
mavirus	G4	Plants
metaavulavirus	G10	Vertebrates
metahepadnavirus	G10	Vertebrates
milvetsatellite	G4	Plants
miniambidensovirus	G1	Invertebrates
minovirus	G10	Vertebrates
mivedwarsatellite	G4	Plants
mivirus	G1	Invertebrates
mobatvirus	G10	Vertebrates
mobuvirus	G1	Invertebrates
mousrhavirus	G1	Invertebrates
muarterivirus	G10	Vertebrates
mustelpoxvirus	G10	Vertebrates
mutorquevirus	G10	Vertebrates
nacovirus	G10	Vertebrates
narmovirus	G10	Vertebrates
nutorquevirus	G10	Vertebrates
nyfulvavirus	G1	Invertebrates
ohlsrhavirus	G1	Invertebrates
oncotshavirus	G10	Vertebrates
orinovirus	G1	Invertebrates
orivirus	G10	Vertebrates
orthoavulavirus	G10	Vertebrates
orthobornavirus	G10	Vertebrates
orthohantavirus	G10,G1	Vertebrates,Invertebrates
orthohepevirus	G10,G1	Vertebrates,Invertebrates
orthonairovirus	G10,G1	Vertebrates,Invertebrates
orthophasmavirus	G1,G10	Invertebrates,Vertebrates
orthopneumovirus	G10	Vertebrates
orthorubulavirus	G10	Vertebrates
orthotospovirus	G4,G1,G10	Plants,Invertebrates,Vertebrates
oryzopoxvirus	G10	Vertebrates
pacuvirus	G1,G10	Invertebrates,Vertebrates
paguronivirus	G1	Invertebrates
pandoravirus	G1	Invertebrates
papanivirus	G4	Plants
paraavulavirus	G10	Vertebrates
parahepadnavirus	G10	Vertebrates
pararubulavirus	G10	Vertebrates
pelarspovirus	G4	Plants
penstylhamaparvovirus	G1	Invertebrates
peropuvirus	G1	Invertebrates
phasivirus	G1	Invertebrates
pidchovirus	G1	Invertebrates
platypuvirus	G4	Plants
poecivirus	G10	Vertebrates
polymycovirus	G4	Plants
porprismacovirus	G10	Vertebrates
posavirus	G10	Vertebrates
potamipivirus	G10	Vertebrates
pregotovirus	G10	Vertebrates
prosimiispumavirus	G10	Vertebrates
protoambidensovirus	G1	Invertebrates
protobacilladnavirus	G4,G1	Plants,Invertebrates
prunevirus	G4	Plants
pteridovirus	G4	Plants
pteropopoxvirus	G10	Vertebrates
rabovirus	G10	Vertebrates
rafivirus	G10	Vertebrates
ravavirus	G4	Plants
reptillovirus	G10	Vertebrates
robigovirus	G4,G1	Plants,Invertebrates
roymovirus	G4	Plants
rubodvirus	G4	Plants
sajorinivirus	G10	Vertebrates
salisharnavirus	G10	Vertebrates
salmonpoxvirus	G10	Vertebrates
salovirus	G10	Vertebrates
sawastrivirus	G1	Invertebrates
sawgrhavirus	G1	Invertebrates
scindoambidensovirus	G1	Invertebrates
sclerotimonavirus	G4	Plants
scleroulivirus	G4	Plants
scoliodonvirus	G10	Vertebrates
shanbavirus	G10	Vertebrates
shangavirus	G1	Invertebrates
shaspivirus	G1	Invertebrates
shilevirus	G1	Invertebrates
simiispumavirus	G10	Vertebrates
sinaivirus	G1	Invertebrates
socyvirus	G1	Invertebrates
sogarnavirus	G4	Plants
sophoyesatellite	G4	Plants
sopolycivirus	G1	Invertebrates
sputnikvirus	G1	Invertebrates
sripuvirus	G10,G1	Vertebrates,Invertebrates
striavirus	G10	Vertebrates
striwavirus	G1	Invertebrates
subclovsatellite	G4	Plants
sunrhavirus	G1,G10	Invertebrates,Vertebrates
sunshinevirus	G10	Vertebrates
synodonvirus	G10	Vertebrates
telnavirus	G1	Invertebrates
thamnovirus	G10	Vertebrates
thetaarterivirus	G10	Vertebrates
thottimvirus	G10	Vertebrates
tilapinevirus	G10	Vertebrates
torchivirus	G10	Vertebrates
tottorivirus	G10	Vertebrates
toursvirus	G1	Invertebrates
treisdeltapapillomavirus	G10	Vertebrates
treisepsilonpapillomavirus	G10	Vertebrates
treisetapapillomavirus	G10	Vertebrates
treisiotapapillomavirus	G10	Vertebrates
treiskappapapillomavirus	G10	Vertebrates
treisthetapapillomavirus	G10	Vertebrates
treiszetapapillomavirus	G10	Vertebrates
triatovirus	G1,G4	Invertebrates,Plants
tupanvirus	G1	Invertebrates
turrinivirus	G1	Invertebrates
uukuvirus	G1,G10	Invertebrates,Vertebrates
vaccinivirus	G4	Plants
vespertilionpoxvirus	G10	Vertebrates
virtovirus	G4	Plants
wamavirus	G4	Plants
wenrivirus	G1	Invertebrates
wubeivirus	G1	Invertebrates
wuhivirus	G1	Invertebrates
wumivirus	G1	Invertebrates
yingvirus	G1,G4	Invertebrates,Plants
zarhavirus	G1	Invertebrates
zeavirus	G4	Plants
zetaarterivirus	G10	Vertebrates
zybavirus	G4	Plants
# patch v239
alphanemrhavirus	G1	Invertebrates
anativirus	G10	Vertebrates
hexartovirus	G1	Invertebrates
infratovirus	G1	Invertebrates
lincruvirus	G1	Invertebrates
sectovirus	G1	Invertebrates
tapwovirus	G1	Invertebrates
yuyuevirus	G1	Invertebrates
# patch v248
aleptorquevirus	G10	Vertebrates
alphacrustrhavirus	G1	Invertebrates
alphadrosrhavirus	G1	Invertebrates
alphahymrhavirus	G1	Invertebrates
alphapaprhavirus	G1	Invertebrates
alpharicinrhavirus	G1	Invertebrates
apeevirus	G0	Bacteria
auricularimonavirus	G4	Plants
betanemrhavirus	G10,G1	Vertebrates,Invertebrates
betapaprhavirus	G1	Invertebrates
betaricinrhavirus	G1	Invertebrates
betatristromavirus	G10	Vertebrates
bonzesmacovirus	G10	Vertebrates
boscovirus	G1	Invertebrates
bostasmacovirus	G10	Vertebrates
botrytimonavirus	G4	Plants
brevihamaparvovirus	G1	Invertebrates
