#old name	new name
grape cultivar Ruby seedless	Vitis vinifera
grape cultivar Shuanghong	Vitis vinifera
grape cultivar Thompson Seedless	Vitis vinifera
grape cultivar Triumph	Vitis vinifera
grape cultivar unknown	Vitis vinifera
grape cultivar Unknown	Vitis vinifera
grape cultivar White Malaga	Vitis vinifera
grape cultivar Xinnongle	Vitis vinifera
grape cultivar Zaokangbao	Vitis vinifera
grape cultivar Zhaohuang	Vitis vinifera
grape cultivar Zhouyouhong	Vitis vinifera
grape cv. Centennial Seedless	Vitis vinifera
grape, cv. Sultana	Vitis vinifera
grape fruit	Vitis vinifera
grapevine	Vitis vinifera
Grapevine	Vitis vinifera
grapevine cultivar Black Olympia	Vitis vinifera
grapevine cultivar Black Seedless	Vitis vinifera
grapevine cultivar Emperor	Vitis vinifera
grapevine cultivar Italia-3	Vitis vinifera
grapevine cultivar Negrita-S2	Vitis vinifera
grapevine cultivar Pinot Noir	Vitis vinifera
grapevine cultivar Pinot Noir 23	Vitis vinifera
grapevine cultivar Primitivo	Vitis vinifera
grapevine; cultivar: Red Globe	Vitis vinifera
grapevine cultivar Siar	Vitis vinifera
grapevine cultivar Sultania Rose	Vitis vinifera
grapevine; cultivar: Sultanina Bianca	Vitis vinifera
grapevine cultivar Thomson Seedless	Vitis vinifera
grapevine cultivar Zaoyu	Vitis vinifera
grapevine cv. Beniizu	Vitis vinifera
grapevine cv. Black Olimpia	Vitis vinifera
grapevine cv. Black Olympia	Vitis vinifera
grapevine, cv. Chardonnay	Vitis vinifera
grapevine cv. Concord	Vitis vinifera
grapevine cv. Guixiangyi	Vitis vinifera
grapevine cv. Jingchao	Vitis vinifera
grapevine cv. Jingxiu	Vitis vinifera
grapevine cv. Kangtai	Vitis vinifera
grapevine cv. Kyoho	Vitis vinifera
grapevine cv. Loudu Bailey	Vitis vinifera
grapevine cv. Lumunage	Vitis vinifera
grapevine cv. Shiraz clone 99B plant SdP2	Vitis vinifera
grapevine cv. Takasumi	Vitis vinifera
grapevine cv. Thompson Seedless	Vitis vinifera
grapevine cv. Thomson Seedless	Vitis vinifera
grapevine cv. Zaoyu	Vitis vinifera
grapevine cv. Zhiyuan 540	Vitis vinifera
grapevine variety Jingchuan	Vitis vinifera
grapevine variety Thomson Seedless	Vitis vinifera
grapevine variety Zaoyu	Vitis vinifera
greengram	mung bean
green turtle	sea turtles
Guinea fowl	fowls
hog	pig
horseshoe bat	bats
hound puppy	dog
H.sapiens	human
Hypophthamichthys molitrix	silver carp
icelandic horse	horse
interdonato lemon	lemon
Jatti Khatti rough lemon	lemon
jujube	Chinese jujube
juvenile lake sturgeon	sturgeon
juvenile white sturgeon	sturgeon
Kelong mekintu, ITC200	
Kennedya rubicunda	Kennedia rubicunda
kennelled dog	dog
Kinnow mandarin	mandarin orange
kumquat	marumi kumquat
laboratory mouse	mice
large cardamom collected	cardamom
layer chicken	chicken
layer hens	chicken
Laying hens	chicken
lettuce	cultivated lettuce
macaw	parrots
Macrobracium rosenbergii	Macrobrachium rosenbergii
magpie-robin	white-rumped shama
male Mandarin duck	birds
Manchurian chipmunk	chipmunks
mandarin	mandarin orange
mandarin cv. Parsons Special	mandarin orange
mandarin hybrids	mandarin orange
Maoli bronze	
masked civet	civets
Mineola tangelo	tangelo
minneola tangelo	tangelo
mixed breed canine	Canidae
mixed culicines	mosquitos
Moluccan cockatoo	cockatoos
Moro blood orange	sweet orange
Moro blood sweet orange	sweet orange
Mosambi sweet orange	sweet orange
mosquito	mosquitos
mosquitoes	mosquitos
mountain lion	lion
mulberry	mulberries
mulberry tree	mulberries
murcott	mandarin orange
murine	mice
nashi cv. Ko Sui on D6-Packham rootstock	pears
nashi cv. Nijiiseiki	pears
navel sweet orange cv. Thompson	sweet orange
neotropical rattlesnake, ATCC-VR-1408	tropical rattlesnake
newborn piglet	pig
night-heron	night herons
oil palm	African oil palm
olive	olives
olive cv. Arbequina	olives
olive cv. GrossDiSpagna	olives
olive cv. LateBlanquette	olives
olive cv. Manzanillo	olives
olive cv. Nevadillo	olives
olive cv. Sevillano	olives
olive ridley	Lepidochelys olivacea
orange	sweet orange
Orinoco sheldgoose	goose
ovine	sheep
oyster	oysters
Page mandarin	mandarin orange
palm civet	civets
palm civet cats	cat
palmetto bug	Florida woods cockroach
passionfruit	passion fruit
peafowl	peafowls
penaeid shrimp	penaeid shrimps
Penaeid shrimp	penaeid shrimps
pepper	peppers
pheasant	copper pheasant
pigeon	pigeons
Pigeonpea	pigeon pea
Pigeonpea (Cajanus cajan)	pigeon pea
piglet	pig
Pisang Abu Perak, ITC056	banana
Pisang gajih merah, ITC677	banana
Pisang nangka, ITC1062	banana
pooled ticks	ticks
pool of female Psorophora albigenu mosquitoes	mosquitos
porcine	pig
Poteau geant, ITC1137	
poultry	birds
pug dog	dog
pullet layers	chicken
pumpkin	pumpkins
puppy	dog
putative fungus	fungi
quail	birds
racoon dog	dog
rasberry cv. Glen Cova	red raspberry
raspberry	red raspberry
red blood sweet orange	sweet orange
red-whiskered bulbul	bulbuls
robel sweet orange	sweet orange
roble sweet orange	sweet orange
rose	Rosa hybrid cultivar
rose cv. Dr. Merkley	Rosa hybrid cultivar
Saccari sweet orange	sweet orange
Salnum lycopersicum	Solanum lycopersicum
Scotphilus kuhli large intestine	bats
seabird	birds
seminole tangelo	tangelo
sentinal SPF chicken	chicken
sentinel mice	mice
sentinel mouse	mice
Setothosea asigna	range caterpillar
sheatfish	sheatfishes
shorebird	shorebirds
shrimp	Penaeus
snake	snakes
snap bean	soybean
Som, ITC669	
sparrow	sparrows
squash	squashes
steelhead	rainbow trout
stringbean	French bean
sunflower	sunflowers
swan	swans
sweet corn	corn
Tasmanian tick	ticks
Thompson navel tree grafted on Sour orange rootstock in north of Iran	sour orange
Thompson navel tree grafted on Trifoliate orange rootstock in north of Iran	trifoliate orange
Thomson navel sweet orange	sweet orange
three year old male goat	goat
Tibetan chicken	chicken
tick	ticks
Tinocalloides montanus	
Touch me not (Mimosa sp., Fabaceae); weed	Mimosa
Trailing Verbena	Verbena
Trimeresus flavomaculatus	Trimeresurus
Tuataria (Sphenodon)	Sphenodon
unvaccinated cat	cat
unvaccinated dog	dog
vaal rhebok (Pelea capreolus)	Pelea capreolus
warmblood horse	horse
white egg laying chicken	chicken
white-eye	white-eyes
white eyed conure	
whitefly	whiteflies
whitefly/plant	whiteflies
wigeon	widgeon
wild apple (Malus sylvestris) 391	Malus sylvestris
wild apple (Malus sylvestris) 392	Malus sylvestris
wild apple (Malus sylvestris) 599	Malus sylvestris
wild ass	ass
wild cherry 680 (Prunus avium)	Prunus avium
wild cherry (Prunus avium) 680	Prunus avium
wild cherry (Prunus avium) 681	Prunus avium
wild common carp	common carp
wild rat	rat
wild sunflower	sunflowers
winter barley cultivar Express	barley
wolf	wolfdog
Wood pigeon	pigeons
# patch v205
Digera arvensis	amaranth
Wild rose	Rosa
hybrid snakehead	northern snakehead
sentinel suckling mice	mice
unknown bat	bats
unknown mosquito pool	mosquitos
unspecified flying fox	flying fox
white eyed conure	Aratinga leucophthalma
# patch v206
Cronobacter sakazakii ATCC BAA 894	Cronobacter sakazakii ATCC BAA-894
Eurasian jackdaw (Corvus monedula)	jackdaw
Melospittacus undulatus	Melopsittacus undulatus
bat colony of Molossus molossus and Tadarida brasiliensis	Molossus molossus
blue-streaked lory (Eos reticulate)	Eos reticulata
caique	parrots
domestic dog; breed: Labrador	dogs
sea lion	California sea lion
sulphur-crested cockatoo (Cacatua galerita)	Cacatua galerita
unidentified Araneae	Araneae
unidentified Chrysopidae	Chrysopidae
unidentified Diptera	Diptera
unidentified Gerridae	Gerridae
unidentified Hippoboscidae	Hippoboscidae
unidentified Hippoboscoidea	Hippoboscoidea
unidentified Phoridae	Phoridae
unidentified Polydesmidae	Polydesmidae
unidentified Tabanidae	Tabanidae
yellow-bibed lory (Lorius chlorocercus)	Lorius lory
yellow-naped Amazon (Amazona auropalliata)	Amazona auropalliata
# patch v211
Bhendi	okra
Bos_taurus	cow
Botritys cinerea strain V448	Botrytis cinerea
Botritys sp. strain V446	Botrytis cinerea
Chilli	chili pepper
Himalayan griffon vulture	birds
Hy-line variety brown chicken	chicken
Lingnania fujianensis	bamboo
cockatoo	parrot
fiddler Crab	Uca mjoebergi
fiddler crab	Uca mjoebergi
flowering cherry	sweet cherry
grapevine; cultivar: Cannonao	Vitis vinifera
groundnut	peanut
hamster	Mongolian hamster
hermit Crab	crustaceans
hermit crab	crustaceans
large pool of wild-caught Drosophila (mixed D. ananassae, D. melanogaster, D. malerkotliana, and Scaptodrosophila latifasciaeformis)	Drosophila
marine snail	gastropods
mixture of Drosophila melanogaster and D. simulans	Drosophila
neotropical bat	bats
raspberry plant	red raspberry
sandfly	sandflies
single unknown drosophilid	Drosophila
single unknown fly	Drosophila
unknown Araneae,Neoscona nautica	brown sailor spider
# patch v214
Dolphin	Burrunan dolphin
Yunling goat	goat
black bear	bear
boar	pigs
captive wild boar	pigs
domestic swine	pigs
farmed rabbit	rabbit
feral swine	pigs
free-living Vitis californica x Vitis vinifera hybrid	Vitis vinifera
humna	human
pet pig	pigs
ridge gourd	white-flowered gourd	
roe deer	deer
specific pathogen-free rabbit	rabbit
tortoise	tortoises
wild bird	birds
wild rabbit	rabbit
# patch v217
Atlantic bottlenose dolphin	dolphins
Bat	bats
Bivalva	bivalves
Bivalva mix Wenzhou	bivalves
Buzzard	common buzzard
Channeled applesnail	land snails
Chinese land snail	land snails
Conehead cricket	crickets
Dinnthus caryophyllus	Dianthus caryophyllus
Echinoderm	starfishes
Fiddler crab	sand crab
Hamimelon	muskmelon
Homo sapiens	human
Indo-Pacific humpback dolphin	dolphins
Macrobrachium rosenbergii	giant freshwater prawn
Owl	owls
Penaeid	penaeid shrimps
Persimmon	kaki persimmon
Pigeon	pigeons
SIV-infected Rhesus monkey	Rhesus monkey
SIV-infected and immunocompromised Rhesus monkey	Rhesus monkey
SIV-infected monkey that had SV40 brain disease	Rhesus monkey
Sesarmid crab	sand crab
Spirurian nematodes	segmented worms
Squirrel monkey	squirrel monkeys
Thrush	birds
Ture flies	flies
Western common chimpanzee	chimpanzee
Wharf roach	common roach
Wild onion	onion
Yuma myotis	gray myotis
aquatic snail	land snails
arthropod	arthropods
arthropod mix Hubei	arthropods
barnacle	barnacles
barnacle mix Beihai	barnacles
bat ectoparasite	bats
beef cattle	cattle
beetle	beetles
buzzard	common buzzard
crustacean	crustaceans
crustacean mix	crustaceans
crustacean mix Wenling	crustaceans
earwig	earwigs
elderberry	Sambucus
farmed Atlantic salmon	Salmo
feral pigeon	pigeons
flea and ants	Formicidae
freshwater arthropod	arthropods
freshwater atyid shrimp	penaeid shrimps
freshwater heteroptera	Heteroptera
freshwater isopoda	Isopoda
freshwater isoptera	Isopoda
freshwater shellfish	penaeid shrimps
freshwater shellfish (Unio douglasiae)	penaeid shrimps
hermit crab mix Beihai	sand crab
honeysuckle	honeysuckles
horse	horse
horseshoe crab	sand crab
lamb	sheep
large pig roundworm	roundworm
leech	leeches
malvestrum coromendalianum	Malvastrum coromandelianum
melon	muskmelon
melon cultivar Galia F1	muskmelon
melon cultivar Piel de sapo	muskmelon
mungbean cultivar SML-668	mung bean
pillworm	pillbugs
red-breasted nuthatch	birds
shrimps	penaeid shrimps
snake-associated nematodes	roundworms
swine	pig
tapeworm	tapeworms
thrush	birds
tropical rattlesnake	snakes
true flies	flies
unidentified mosquitos	mosquitos
vipers	Viperinae
wax moth	butterflies and moths
woodlouse	pillbugs
# patch v220
Acanthamoeba polyphaga mimivirus	Acanthamoeba polyphaga
Alveonasus lahorensis (tick)	ticks
Bean	soybean
Cape gooseberry	grouseberry
Chili	chili pepper
Cucims melo	Cucumis melo
Douglas Fir	grand fir
Groundnut	peanut
Lisianthus	Lisianthus russellianus
Louisiana patient with hantavirus pulmonary syndrome	human
Mosquito-Unknown	mosquitos
Mulberry	mulberries
Mungbean	mung bean
New Mexico human case 10	human
Olygoryzomys nigripes	Oligoryzomys nigripes
Patient	human
Poligonum convolvolus	Polygonum convolvulus
Rieger begonia	Swedish begonias
Siberian lemmings (Lemmus sibiricus)	Lemmus sibiricus
Weed (Qatal booti)	marijuana
balsam	Balsaminaceae
bean cultivar Vainita-Larga	soybean
blackberry cv. Apache	European blackberry
buttercup	buttercups
cantaloupe (Cucumis melo L.)	Cucumis melo
chili	chili pepper
chili (Capsicum annum L.)	chili pepper
chilli; Capsicum annum L.	chili pepper
common bean	Phaseolus vulgaris
equid	horses
falso lulo	Solanum pseudolulo
grapevine; cultivar: Ayaneskeal	Vitis vinifera
green onion	onion
green pepper	peppers
groundnut (Arachis hypogaea L.)	peanut
groundnut (peanut)	peanut
groundnut (variety JL-24)	peanut
groundnut cv. JL-24	peanut
hybrid wild boar	pigs
hydroponic growing lettuce	cultivated lettuce
melon (Cucumis melo)	Cucumis melo
mungbean	mung bean
mungbean (Phaseolus radiatus L.)	mung bean
nursery pig	pigs
nursing pig	pigs
orchid	Orchidaceae
oriental tobacco	Nicotiana tabacum
pappa cultivar Granola	peppers
pappa cultivar Maranga	peppers
patient from Germany with HFRS	human
pepper; cultivar: Healey	peppers
procine	pigs
red-tailed guenon	monkey
snake loofah (Luffa spp.)	smooth loofah
sow	pigs
special wild pig	pigs
spider lily	Lilium
steelhead trout	rainbow trout
suckling pig	pigs
tobbaco	Nicotiana tabacum
white rat	rats
wild Vigna mungo var. mungo (accession no. IC-251383)	Vigna mungo
wild rodents	rodent
